algorithm,seed,cost,start_cost,improvement_pct,vehicles,feasible,total_time_min,total_distance_km,congestion_delay_min,evaluations,elapsed_s,first_hit_iteration
pso,5,182.0139,191.4135,4.911,3,true,107.100,35.455,40.621,20040,0.0641,25
pso,6,182.0139,203.0875,10.377,3,true,107.100,35.455,40.621,20040,0.0640,75
pso,7,187.7510,194.2072,3.324,3,true,111.550,36.219,43.638,20040,0.0643,5
pso,8,180.7079,193.2867,6.508,3,true,106.050,34.543,41.288,20040,0.0645,8
pso,9,180.7079,197.0771,8.306,3,true,106.050,34.543,41.288,20040,0.0648,65
pso,10,182.2981,193.8108,5.940,3,true,107.320,35.517,40.732,20040,0.0645,7
pso,11,183.0908,190.9748,4.128,3,true,107.940,35.722,40.966,20040,0.0654,2
pso,12,185.1874,188.4802,1.747,3,true,109.540,35.455,43.066,20040,0.0646,4
pso,13,183.0908,183.9613,0.473,3,true,107.940,35.722,40.966,20040,0.0648,12
pso,14,181.5654,193.5569,6.195,3,true,106.720,34.738,41.588,20040,0.0649,80
pso,15,183.0908,195.5784,6.385,3,true,107.940,35.722,40.966,20040,0.0667,39
pso,16,182.2981,194.4664,6.257,3,true,107.320,35.517,40.732,20040,0.0650,25
pso,17,182.8066,192.2090,4.892,3,true,107.720,35.660,40.855,20040,0.0644,23
pso,18,190.9721,198.5832,3.833,3,true,114.110,37.925,42.999,20040,0.0653,6
pso,19,180.7079,181.5654,0.472,3,true,106.050,34.543,41.288,20040,0.0647,239
pso,20,182.2981,190.3951,4.253,3,true,107.320,35.517,40.732,20040,0.0645,13
pso,21,188.3261,201.9268,6.735,3,true,112.040,37.238,42.224,20040,0.0659,4
pso,22,180.7079,184.5916,2.104,3,true,106.050,34.543,41.288,20040,0.0647,146
pso,23,180.7079,190.5140,5.147,3,true,106.050,34.543,41.288,20040,0.0644,16
pso,24,181.5654,190.6527,4.766,3,true,106.720,34.738,41.588,20040,0.0645,17
pso,25,180.7079,185.9801,2.835,3,true,106.050,34.543,41.288,20040,0.0647,42
pso,26,182.2981,189.7176,3.911,3,true,107.320,35.517,40.732,20040,0.0651,4
pso,27,182.8066,191.4617,4.521,3,true,107.720,35.660,40.855,20040,0.0646,1
pso,28,182.2981,190.7271,4.419,3,true,107.320,35.517,40.732,20040,0.0646,11
pso,29,182.6604,189.6024,3.661,3,true,107.600,35.517,41.006,20040,0.0647,4
pso,30,183.0908,193.2714,5.268,3,true,107.940,35.722,40.966,20040,0.0655,4
