algorithm,seed,cost,start_cost,improvement_pct,vehicles,feasible,total_time_min,total_distance_km,congestion_delay_min,evaluations,elapsed_s,first_hit_iteration
qpso,1,183.0908,189.8595,3.565,3,true,107.940,35.722,40.966,20040,0.0831,7
qpso,2,182.2981,192.8632,5.478,3,true,107.320,35.517,40.732,20040,0.0823,4
qpso,3,182.2981,191.9077,5.007,3,true,107.320,35.517,40.732,20040,0.0829,14
qpso,4,180.7079,196.2343,7.912,3,true,106.050,34.543,41.288,20040,0.0830,96
qpso,5,182.0139,191.4135,4.911,3,true,107.100,35.455,40.621,20040,0.0818,23
qpso,6,183.0908,208.1991,12.060,3,true,107.940,35.722,40.966,20040,0.0835,21
qpso,7,182.6604,185.6578,1.614,3,true,107.600,35.517,41.006,20040,0.0834,72
qpso,8,180.7079,194.1259,6.912,3,true,106.050,34.543,41.288,20040,0.0833,9
qpso,9,182.2981,199.3199,8.540,3,true,107.320,35.517,40.732,20040,0.0827,33
qpso,10,182.2981,192.1217,5.113,3,true,107.320,35.517,40.732,20040,0.0828,16
qpso,11,183.0908,187.6292,2.419,3,true,107.940,35.722,40.966,20040,0.0835,33
qpso,12,180.7079,186.7877,3.255,3,true,106.050,34.543,41.288,20040,0.0828,406
qpso,13,183.9613,190.4842,3.424,3,true,108.610,35.722,41.634,20040,0.0836,12
qpso,14,182.2981,198.1702,8.009,3,true,107.320,35.517,40.732,20040,0.0825,15
qpso,15,180.7079,195.8007,7.708,3,true,106.050,34.543,41.288,20040,0.0828,48
qpso,16,180.7079,196.5955,8.081,3,true,106.050,34.543,41.288,20040,0.0830,197
qpso,17,180.7079,190.8612,5.320,3,true,106.050,34.543,41.288,20040,0.0830,32
qpso,18,181.5654,204.7189,11.310,3,true,106.720,34.738,41.588,20040,0.0827,38
qpso,19,181.5654,192.8514,5.852,3,true,106.720,34.738,41.588,20040,0.0832,16
qpso,20,182.2981,208.2907,12.479,3,true,107.320,35.517,40.732,20040,0.0828,7
qpso,21,180.7079,201.9268,10.508,3,true,106.050,34.543,41.288,20040,0.0833,154
qpso,22,182.6604,192.1226,4.925,3,true,107.600,35.517,41.006,20040,0.0829,8
qpso,23,180.7079,193.3355,6.531,3,true,106.050,34.543,41.288,20040,0.0828,12
qpso,24,180.7079,197.9763,8.722,3,true,106.050,34.543,41.288,20040,0.0832,51
qpso,25,182.0139,187.2264,2.784,3,true,107.100,35.455,40.621,20040,0.0820,23
qpso,26,182.2981,192.7358,5.416,3,true,107.320,35.517,40.732,20040,0.0829,11
qpso,27,180.7079,191.4617,5.617,3,true,106.050,34.543,41.288,20040,0.0829,118
qpso,28,182.2981,190.8965,4.504,3,true,107.320,35.517,40.732,20040,0.0828,96
qpso,29,182.0139,189.9569,4.181,3,true,107.100,35.455,40.621,20040,0.0825,10
qpso,30,180.7079,196.1953,7.894,3,true,106.050,34.543,41.288,20040,0.0835,22
pso,1,183.0908,189.8595,3.565,3,true,107.940,35.722,40.966,20040,0.0649,6
pso,2,182.6604,191.0290,4.381,3,true,107.600,35.517,41.006,20040,0.0649,14
pso,3,181.5654,189.6700,4.273,3,true,106.720,34.738,41.588,20040,0.0648,27
pso,4,183.0908,196.7852,6.959,3,true,107.940,35.722,40.966,20040,0.0656,8
